"ANO","MES","codigo","nombreC","nombreV","FuenteC","FuenteV","VALOR","varmensual","varanual"
2015,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",66291,-0.782770078127339,-9.52998335016513
2016,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",67282,1.49492389615483,-8.53825972295855
2016,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",67315,0.0490472934811688,-8.08356660066908
2016,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",66518,-1.18398573869123,-7.65108497966097
2016,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",66114,-0.607354400312697,-6.90922403232847
2016,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",65404,-1.07390265299331,-6.082711085583
2016,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",64342,-1.62375389884411,-6.79800101397842
2016,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",64011,-0.514438469428989,-6.44675689105843
2016,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",64968,1.49505553732952,-5.68218112133794
2016,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",64153,-1.2544637359931,-6.08549260723174
2016,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",63343,-1.26260658114196,-6.33474795569817
2016,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",62315,-1.62291018739245,-6.73361870266711
2016,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",61721,-0.953221535745808,-6.89384682686941
