Distrito;Sección;Total;Menos de 16 años;De 16 a 64 años;65 años y más
12;37;2162;473;1358;331
12;38;1916;290;1383;243
12;39;1530;200;1007;323
12;40;1763;308;1229;226
12;41;2216;512;1456;248
12;42;2845;687;1886;272
12;43;1262;149;840;273
12;44;1527;267;1018;242
12;45;1990;520;1297;173
12;46;1674;458;1051;165
12;47;1086;189;667;230
13;1;1941;293;1213;435
13;2;2087;284;1292;511
13;3;847;92;563;192
13;4;1243;157;787;299
13;5;1545;197;1039;309
13;7;899;95;547;257
13;8;1388;129;866;393
13;9;921;108;538;275
13;10;1394;116;892;386
13;11;670;61;403;206
13;12;1920;212;1268;440
13;13;872;105;518;249
13;14;1508;178;980;350
13;15;1009;110;615;284
13;16;1795;272;1300;223
13;17;1404;165;896;343
13;19;1014;106;638;270
13;20;703;68;437;198
13;21;1170;101;722;347
13;22;1168;128;762;278
13;23;1642;217;1079;346
13;24;1671;208;1047;416
13;25;2075;257;1410;408
13;26;1091;140;654;297
13;27;1332;133;936;263
13;28;1467;155;1017;295
13;29;906;80;529;297
13;30;1029;132;622;275
14;1;2023;244;1338;441
14;2;1398;165;894;339
14;3;785;90;508;187
14;4;1208;130;753;325
14;5;947;114;602;231
14;6;1042;126;674;242
14;7;1004;120;694;190
14;8;950;108;626;216
14;9;1118;154;734;230
14;10;1579;214;985;380
14;12;1042;113;725;204
14;13;1526;193;988;345
14;14;1229;175;774;280
14;15;1190;190;763;237
14;16;1574;187;1041;346
14;18;1458;184;876;398
14;19;1705;201;1251;253
14;20;2249;248;1591;410
14;21;1403;182;953;268
14;22;933;97;625;211
14;23;1085;111;706;268
14;24;1270;147;886;237
15;1;1051;186;650;215
15;2;1018;173;668;177
15;3;1251;166;802;283
15;4;1005;135;652;218
15;5;1522;257;1038;227
15;6;1535;230;1018;287
15;7;1057;167;707;183
15;8;1202;207;828;167
15;10;1041;160;710;171
15;11;1041;148;699;194
15;12;1427;211;941;275
15;13;1169;145;771;253
15;14;1362;186;869;307
15;15;1418;228;930;260
15;16;1608;236;1085;287
15;17;1465;218;968;279
15;18;2112;245;1314;553
15;19;1092;135;658;299
15;20;1383;200;916;267
15;21;2176;344;1420;412
15;22;1425;245;933;247
15;23;1625;212;1044;369
15;24;1708;217;1163;328
15;25;1331;208;878;245
15;26;1285;206;871;208
15;27;1009;164;697;148
15;28;1164;262;811;91
15;29;1060;136;716;208
15;30;1936;267;1268;401
15;31;985;142;571;272
15;32;859;140;526;193
15;33;1335;191;948;196
15;34;1818;499;1141;178
15;35;1506;428;984;94
15;36;1119;143;742;234
15;37;1608;286;1090;232
15;38;1991;521;1353;117
15;39;1310;209;823;278
15;40;1561;421;994;146
16;1;1644;240;1046;358
16;2;1971;288;1240;443
16;3;1934;273;1260;401
16;4;821;121;555;145
16;5;1650;298;1074;278
16;6;1785;228;1115;442
16;8;1578;267;1085;226
16;9;1190;173;859;158
16;10;1041;140;660;241
16;11;1350;192;906;252
16;12;936;140;635;161
16;13;1375;222;866;287
16;14;1426;167;991;268
16;15;1557;188;963;406
16;16;1405;179;842;384
16;17;2540;526;1762;252
16;18;903;106;579;218
16;19;1547;189;1073;285
16;20;1514;223;987;304
16;21;1218;162;737;319
16;22;958;141;621;196
16;23;2101;323;1494;284
16;24;1525;150;990;385
16;25;1329;193;874;262
16;26;1406;194;869;343
16;27;1359;163;850;346
16;28;1403;190;939;274
16;29;1740;536;1140;64
16;30;2034;483;1385;166
16;31;1585;370;1088;127
16;32;1874;491;1275;108
17;1;1404;196;899;309
17;2;899;110;582;207
17;3;1186;139;747;300
17;6;2362;507;1472;383
17;7;715;114;425;176
18;1;1532;285;975;272
18;2;1052;167;681;204
18;3;1469;212;999;258
18;4;2336;383;1574;379
18;5;1109;153;718;238
18;6;1311;168;873;270
18;7;1644;290;1142;212
18;8;1873;302;1234;337
18;9;1013;122;655;236
18;10;1048;170;704;174
19;1;1243;172;793;278
19;2;703;92;425;186
19;3;1661;282;1037;342
19;4;1134;174;711;249
19;5;2291;365;1466;460
19;6;1788;246;1165;377
19;7;771;100;466;205
19;8;1836;306;1184;346
19;9;755;87;438;230
19;11;851;167;529;155
19;12;2025;327;1488;210
19;13;1608;188;1086;334
19;14;1592;201;1016;375
19;15;1011;125;660;226
19;16;1378;206;944;228
